Target Vertex Index,Source Vertex Index,Best Sigma,Best Variance Explained
116220.0,5322.0,7.0,0.7540703431405718
9979.0,5324.0,3.0,0.6851370314862001
9978.0,5322.0,7.0,0.7760090076894891
9970.0,408.0,8.0,0.7439550706387026
9980.0,408.0,3.0,0.6794716123707556
10754.0,5322.0,6.0,0.7802039207914682
10740.0,106752.0,7.0,0.7409616053901573
10739.0,5320.0,5.0,0.7357183909275411
115038.0,4737.0,1.0,0.7872782357915467
10753.0,4718.0,5.0,0.7602927161421839
11531.0,5322.0,8.0,0.7020902882627247
10752.0,5320.0,6.0,0.7546974977504485
95314.0,4730.0,1.0,0.7897392569128417
11530.0,408.0,8.0,0.6897301589493104
10768.0,4291.0,4.0,0.7468447624558484
11549.0,5320.0,6.0,0.7298464229688346
10730.0,106752.0,7.0,0.7374708267471204
9958.0,106752.0,7.0,0.6989036590127227
10729.0,5892.0,6.0,0.7799448096895807
11513.0,5892.0,6.0,0.7607700547175216
10731.0,5335.0,7.0,0.5335428522564667
11497.0,113868.0,9.0,0.7356327669947877
10720.0,113868.0,9.0,0.5264115781941237
107416.0,5892.0,6.0,0.7654109779119095
11474.0,7112.0,2.0,0.3828431663734514
10710.0,104157.0,1.0,0.37110451774850284
11484.0,113868.0,9.0,0.607265747918864
10721.0,104157.0,1.0,0.4494338857712613
10711.0,104157.0,1.0,0.4233554008268987
11475.0,109309.0,3.0,0.2999803986969727
9231.0,4231.0,1.0,0.5776312379839774
9971.0,408.0,4.0,0.642598203544271
9225.0,110565.0,12.0,0.6051558801838857
115945.0,4717.0,4.0,0.7324374971530587
104503.0,4231.0,1.0,0.4895757480544374
9236.0,5324.0,3.0,0.6039828375210767
9987.0,4737.0,1.0,0.7837107289832902
9959.0,106752.0,7.0,0.5781390040865542
9212.0,5871.0,4.0,0.5938588249291102
9960.0,5353.0,6.0,0.6016520873661609
9946.0,97466.0,8.0,0.5031950972632075
9947.0,5339.0,1.0,0.5965880591931232
9936.0,104157.0,1.0,0.5160135678486083
9937.0,5339.0,1.0,0.5897426714715208
10712.0,97466.0,8.0,0.48922785951152936
9237.0,4231.0,1.0,0.6154945842185768
99742.0,4713.0,2.0,0.736476613469648
9988.0,4717.0,2.0,0.7237980817288758
9232.0,4715.0,1.0,0.6190008114299022
8503.0,4231.0,1.0,0.5353258011045277
9213.0,5371.0,5.0,0.6422928788135145
98755.0,97466.0,9.0,0.6691749375842267
9202.0,5339.0,1.0,0.6423746376060611
95269.0,5353.0,6.0,0.6620068558425877
9948.0,5339.0,1.0,0.6404058300053755
9203.0,5353.0,4.0,0.6271690572453268
8515.0,4715.0,1.0,0.5874098813236871
8514.0,4231.0,1.0,0.5669231871086733
8504.0,4715.0,1.0,0.6231964318724089
8494.0,4715.0,1.0,0.6704581841534223
7827.0,4715.0,1.0,0.6691789507405428
112186.0,4702.0,1.0,0.6789280071423156
7837.0,110565.0,12.0,0.5646907871846818
8522.0,4715.0,1.0,0.6243251819352458
7838.0,4232.0,2.0,0.666054738532867
8521.0,4715.0,1.0,0.7500377971085673
9949.0,5353.0,3.0,0.6117271473233366
9204.0,4289.0,3.0,0.6504127057249004
8486.0,4718.0,3.0,0.6711199172274636
9961.0,4289.0,3.0,0.6496576241228147
9962.0,4718.0,3.0,0.6809464725172476
9215.0,4718.0,3.0,0.6862096332935987
9216.0,97466.0,9.0,0.70510181857828
8487.0,4714.0,2.0,0.7035894698609748
8496.0,4714.0,2.0,0.7247744192104643
110535.0,4718.0,3.0,0.6966817547894288
9217.0,4714.0,2.0,0.7127813401208463
8505.0,106752.0,3.0,0.7260661187972475
8497.0,106752.0,3.0,0.7313058677557807
9973.0,4714.0,2.0,0.6972313194388424
9233.0,4268.0,2.0,0.697930805246457
8516.0,106752.0,3.0,0.7202461309393097
9982.0,4714.0,2.0,0.6988041940729113
9238.0,4714.0,2.0,0.7022473909757861
9990.0,4702.0,1.0,0.6922550483161736
8524.0,4702.0,1.0,0.6975090394119303
10713.0,97466.0,8.0,0.5263694902578451
10722.0,5339.0,1.0,0.5908504163675314
10723.0,5339.0,1.0,0.6249406375322922
115606.0,5338.0,1.0,0.615976377165524
10733.0,4312.0,3.0,0.6221431376993087
10743.0,4289.0,3.0,0.6740554909464054
9972.0,97466.0,9.0,0.7091642782564864
9981.0,97466.0,9.0,0.7035689676236823
117998.0,97466.0,9.0,0.6889316257796572
116011.0,4730.0,1.0,0.7439020974735244
10769.0,4271.0,3.0,0.7554217628951623
9242.0,4737.0,1.0,0.7668696107947932
9244.0,97466.0,9.0,0.7066621634576988
9989.0,97466.0,9.0,0.6685644384716539
10700.0,7734.0,8.0,0.3947262012237891
10701.0,97466.0,8.0,0.44337542010682385
11476.0,97466.0,8.0,0.4581617669476742
116128.0,97466.0,8.0,0.5247174495953049
11485.0,5339.0,1.0,0.5678033218399675
99674.0,5339.0,1.0,0.6246207979302041
10732.0,5339.0,1.0,0.6451672467469707
10742.0,4289.0,2.0,0.6430538872799373
10757.0,4289.0,2.0,0.6870538353205895
10756.0,4289.0,2.0,0.6675952640866691
10741.0,5353.0,4.0,0.6606467340565492
10755.0,97466.0,10.0,0.703182265602068
10771.0,97466.0,9.0,0.6721907804139888
11564.0,4725.0,1.0,0.6962995495725777
10785.0,4271.0,2.0,0.7241742298470819
103021.0,4262.0,1.0,0.676859510970364
9995.0,4271.0,3.0,0.7482497837544195
10770.0,97466.0,9.0,0.7119038451045818
10787.0,97466.0,9.0,0.6588935521260845
9996.0,97466.0,9.0,0.6800361192808299
10800.0,97466.0,9.0,0.6764537918508299
10786.0,97466.0,9.0,0.6840746935540036
10799.0,4268.0,2.0,0.6792314849343375
10008.0,97466.0,9.0,0.6993831012169615
10019.0,4715.0,1.0,0.6994142693937847
11473.0,7112.0,2.0,0.5055067552031407
114361.0,109309.0,3.0,0.31331933061039297
11465.0,7734.0,8.0,0.32946617589731253
11464.0,109309.0,3.0,0.26894205454056574
11467.0,7734.0,8.0,0.4273167055385195
12252.0,7734.0,8.0,0.5057429365088397
12237.0,7734.0,8.0,0.45070417967952014
11496.0,113868.0,9.0,0.7288727388492378
12268.0,6518.0,3.0,0.5949306197000717
11498.0,5339.0,1.0,0.6838819575396016
11495.0,5892.0,6.0,0.7364513304492634
12267.0,113868.0,9.0,0.6664589469750515
12266.0,106752.0,11.0,0.7266612020373389
12281.0,6518.0,4.0,0.6907914129155952
12295.0,5371.0,12.0,0.7297373228465738
11514.0,5321.0,5.0,0.7230134037235719
115424.0,5892.0,6.0,0.722406169823246
106023.0,5321.0,5.0,0.7182648959070586
12307.0,5321.0,5.0,0.7451441635443198
12294.0,5892.0,5.0,0.6713669599622525
11512.0,5892.0,5.0,0.6834867559988369
11529.0,408.0,8.0,0.6328461817743918
11548.0,4724.0,3.0,0.6800114779094867
11563.0,4273.0,1.0,0.6288753990881706
12236.0,7734.0,8.0,0.41890426105718104
12937.0,7734.0,8.0,0.3953172800742144
12253.0,7733.0,8.0,0.4609084660777619
12238.0,97466.0,8.0,0.3755678118906931
98653.0,97466.0,8.0,0.25257476297353243
12938.0,97466.0,8.0,0.25335023035614745
12957.0,7080.0,12.0,0.3695166227833464
12269.0,7733.0,8.0,0.5656821133185063
12969.0,7080.0,12.0,0.45980156223064605
12966.0,7093.0,11.0,0.6949145609636138
12280.0,5892.0,5.0,0.711535240471884
12965.0,5892.0,5.0,0.6965898742699907
12954.0,7113.0,11.0,0.5130232268735453
12982.0,7733.0,8.0,0.5431348686110242
12980.0,5892.0,5.0,0.6881109662221484
12279.0,5892.0,5.0,0.7059710857863472
12296.0,6518.0,3.0,0.6637559802135148
116518.0,408.0,8.0,0.6786747894389842
96453.0,5892.0,5.0,0.6155398902515428
12998.0,5331.0,5.0,0.7028291489867986
114485.0,5331.0,6.0,0.750357630756361
12317.0,4748.0,3.0,0.7545597576810312
11532.0,4735.0,5.0,0.7472695845816262
12316.0,4757.0,3.0,0.7475512518918841
11550.0,4291.0,4.0,0.7560072288098447
11551.0,4729.0,5.0,0.769164448911789
12936.0,7734.0,8.0,0.39704006264655345
