Target Vertex Index,Source Vertex Index,Best Sigma,Best Variance Explained
12981,5892,5.0,0.7222716590917664
12981,106752,7.0,0.7204885058663798
12981,5891,7.0,0.711270859607821
12981,3373,12.0,0.7094855072004107
12981,5353,12.0,0.7093042344699626
12981,6471,7.0,0.7077767834781292
12981,3767,12.0,0.7067655962127318
12981,5371,10.0,0.7065639103820525
12981,5871,9.0,0.705913614583264
12981,5335,8.0,0.69995030904874
12981,408,7.0,0.6991026506364604
12981,5352,12.0,0.6988988735747677
12981,113868,9.0,0.6983947454155504
12981,5323,5.0,0.6929390117746287
12981,5906,6.0,0.692732309310298
12981,5324,6.0,0.6921765442833561
12981,5351,11.0,0.691191695084292
12981,5897,6.0,0.6894223114162423
12981,5381,11.0,0.6875224433629434
12981,3363,12.0,0.6861498276367989
12981,6487,12.0,0.6860749593406579
12981,5372,7.0,0.6853297284920699
12981,5905,12.0,0.6852304980739119
12981,7093,11.0,0.6847069848474705
12981,5890,6.0,0.6846873706136849
12981,5914,6.0,0.6830954502027976
12981,6497,12.0,0.6830272967323632
12981,5913,12.0,0.6827583375716813
12981,3374,12.0,0.6768048094548278
12981,6506,11.0,0.6767479029253488
12981,7094,12.0,0.6715900877954626
12981,3773,12.0,0.6705555432491583
12981,6498,9.0,0.664738323035375
12981,5927,11.0,0.6624005287624035
12981,3351,10.0,0.6618270234995489
12981,5928,11.0,0.6593441888073192
12981,5929,12.0,0.658048971663848
12981,6499,9.0,0.6579849451324182
12981,7801,12.0,0.6515036517487109
12981,5864,2.0,0.6502621902169419
12981,3772,12.0,0.649746789662496
12981,5974,7.0,0.6485513070953859
12981,7112,11.0,0.6472601966902685
12981,5937,12.0,0.6442878717957967
12981,380,12.0,0.6391002769775808
12981,110565,7.0,0.6387570198470082
12981,5322,8.0,0.6371200739595271
12981,7113,11.0,0.6365407189739828
12981,6573,12.0,0.6338123018958544
12981,6480,9.0,0.6338100853936111
12981,5947,11.0,0.6329910845948578
12981,6516,12.0,0.6308943735482759
12981,5924,8.0,0.6305436474146033
12981,5931,12.0,0.6296105206985483
12981,6521,9.0,0.6288558835376938
12981,6522,9.0,0.6283595371007971
12981,5350,3.0,0.6282723526515959
12981,7126,10.0,0.6279569116186889
12981,6520,10.0,0.6238306892176925
12981,5915,9.0,0.6236138243169158
12981,6518,12.0,0.6230993307646215
12981,6503,8.0,0.6230938282288697
12981,6523,9.0,0.620691620557535
12981,7108,9.0,0.6203860938413368
12981,7110,11.0,0.6203751457166733
12981,7132,12.0,0.6192067281082462
12981,5973,11.0,0.6163378537587678
12981,3771,12.0,0.6160832876363469
12981,5907,10.0,0.6160508627208314
12981,5908,9.0,0.6149831303560822
12981,7115,9.0,0.6133198923911398
12981,4691,3.0,0.6112876484129748
12981,7125,11.0,0.6107574316984559
12981,7133,12.0,0.6087928381667111
12981,6502,11.0,0.6072696429990994
12981,7124,10.0,0.6072367722665608
12981,4692,4.0,0.6059821871042765
12981,6530,12.0,0.6010004426046522
12981,5339,1.0,0.6006024605679049
12981,4242,2.0,0.5998993406883253
12981,4701,1.0,0.5996499135792661
12981,6517,12.0,0.5989499229849716
12981,5958,12.0,0.597559261873738
12981,7111,10.0,0.5942816389986051
12981,5894,10.0,0.591786667354449
